Date,Meal,Foods,Food code
12/1/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/2/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/3/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/4/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/5/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/6/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/7/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/8/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/9/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/10/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/11/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/12/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/13/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/14/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/15/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/16/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/17/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/18/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/19/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/20/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/21/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/22/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/23/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/24/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/25/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/26/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/27/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/28/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/29/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/30/2022,Dinner,"Chicken nuggets, from frozen",24198736
12/31/2022,Dinner,"Chicken nuggets, from frozen",24198736
11/29/2022,Snack,"Blackberries, raw",63201010
11/30/2022,Snack,"Blueberries, raw",63203010
12/1/2022,Snack,"Raspberries, raw",63219000
12/2/2022,Snack,"Blackberries, raw",63201010
12/3/2022,Snack,"Blueberries, raw",63203010
12/4/2022,Snack,"Raspberries, raw",63219000
12/5/2022,Snack,"Blackberries, raw",63201010
12/6/2022,Snack,"Blueberries, raw",63203010
12/7/2022,Snack,"Raspberries, raw",63219000
12/8/2022,Snack,"Blackberries, raw",63201010
12/9/2022,Snack,"Blueberries, raw",63203010
12/10/2022,Snack,"Raspberries, raw",63219000
12/11/2022,Snack,"Blackberries, raw",63201010
12/12/2022,Snack,"Blueberries, raw",63203010
12/13/2022,Snack,"Raspberries, raw",63219000
12/14/2022,Snack,"Blackberries, raw",63201010
12/15/2022,Snack,"Blueberries, raw",63203010
12/16/2022,Snack,"Raspberries, raw",63219000
12/17/2022,Snack,"Blackberries, raw",63201010
12/18/2022,Snack,"Blueberries, raw",63203010
12/19/2022,Snack,"Raspberries, raw",63219000
12/20/2022,Snack,"Blackberries, raw",63201010
12/21/2022,Snack,"Blueberries, raw",63203010
12/22/2022,Snack,"Raspberries, raw",63219000
12/23/2022,Snack,"Blackberries, raw",63201010
12/24/2022,Snack,"Blueberries, raw",63203010
12/25/2022,Snack,"Raspberries, raw",63219000
12/26/2022,Snack,"Blackberries, raw",63201010
12/27/2022,Snack,"Blueberries, raw",63203010
12/28/2022,Snack,"Raspberries, raw",63219000
12/29/2022,Snack,"Blackberries, raw",63201010
12/30/2022,Snack,"Blueberries, raw",63203010
12/31/2022,Snack,"Raspberries, raw",63219000
