Date,Meal,Foods,Food code
1/21/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/21/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/21/2023,Snack,"Snack bar, oatmeal",53712000
1/22/2023,Breakfast,"Oatmeal, multigrain",56203610
1/22/2023,Lunch,"Pasta, cooked",56130000
1/22/2023,Lunch,"Celery, raw",75109000
1/22/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/22/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/23/2023,Breakfast,"Oatmeal, multigrain",56203610
1/23/2023,Lunch,"Pasta, cooked",56130000
1/23/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/23/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/23/2023,Snack,"Pretzel chips, hard, plain",54408105
1/24/2023,Breakfast,"Oatmeal, multigrain",56203610
1/24/2023,Breakfast,"Raspberries, raw",63219000
1/24/2023,Lunch,"Pasta, cooked",56130000
1/24/2023,Lunch,"Cucumber, raw",75111000
1/24/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/24/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/24/2023,Snack,"Crackers, cheese",54304000
1/25/2023,Breakfast,"Oatmeal, multigrain",56203610
1/25/2023,Breakfast,"Blueberries, raw",63203010
1/25/2023,Lunch,"Pasta, cooked",56130000
1/25/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/25/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/26/2023,Breakfast,"Oatmeal, multigrain",56203610
1/26/2023,Breakfast,"Blackberries, raw",63201010
1/26/2023,Lunch,"Pasta, cooked",56130000
1/26/2023,Lunch,"Carrots, raw",73101010
1/26/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/26/2023,Dinner,"Pasta, cooked",56130000
1/26/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/26/2023,Snack,"Candy, fruit snacks",91746300
1/27/2023,Breakfast,"Oatmeal, multigrain",56203610
1/27/2023,Lunch,"Pasta, cooked",56130000
1/27/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/27/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/27/2023,Snack,"Snack bar, oatmeal",53712000
1/28/2023,Breakfast,"Oatmeal, multigrain",56203610
1/28/2023,Lunch,"Pasta, cooked",56130000
1/28/2023,Lunch,"Celery, raw",75109000
1/28/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/28/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/29/2023,Breakfast,"Oatmeal, multigrain",56203610
1/29/2023,Breakfast,"Raspberries, raw",63219000
1/29/2023,Lunch,"Pasta, cooked",56130000
1/29/2023,Lunch,"Carrots, raw",73101010
1/29/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/29/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/29/2023,Snack,"Pretzel chips, hard, plain",54408105
1/30/2023,Breakfast,"Oatmeal, multigrain",56203610
1/30/2023,Breakfast,"Blueberries, raw",63203010
1/30/2023,Lunch,"Pasta, cooked",56130000
1/30/2023,Lunch,"Cucumber, raw",75111000
1/30/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/30/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/30/2023,Snack,"Crackers, cheese",54304000
1/31/2023,Breakfast,"Oatmeal, multigrain",56203610
1/31/2023,Breakfast,"Raspberries, raw",63219000
1/31/2023,Lunch,"Pasta, cooked",56130000
1/31/2023,Lunch,"Carrots, raw",73101010
1/31/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/31/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/31/2023,Snack,"Pretzel chips, hard, plain",54408105
2/1/2023,Breakfast,"Oatmeal, multigrain",56203610
2/1/2023,Breakfast,"Blackberries, raw",63201010
2/1/2023,Lunch,"Cheese sandwich, American cheese, on white bread",14640002
2/1/2023,Lunch,"Celery, raw",75109000
2/1/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/1/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/2/2023,Breakfast,"Oatmeal, multigrain",56203610
2/2/2023,Breakfast,"Peach, raw",63135010
2/2/2023,Lunch,"Pasta, cooked",56130000
2/2/2023,Lunch,"Carrots, raw",73101010
2/2/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/2/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/2/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
2/2/2023,Snack,"Candy, fruit snacks",91746300
2/2/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/2/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/2/2023,Lunch,"Celery, raw",75109000
2/2/2023,Dinner,Alfredo sauce with poultry,14650180
2/2/2023,Dinner,"Pasta, cooked",56130000
2/2/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/3/2023,Breakfast,Cream of rice,56205050
2/3/2023,Breakfast,"Plum, raw",63143010
2/3/2023,Lunch,"Pasta, cooked",56130000
2/3/2023,Lunch,"Cucumber, raw",75111000
2/3/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
2/3/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/3/2023,Snack,"Snack bar, oatmeal",53712000
2/5/2023,Breakfast,"Oatmeal, multigrain",56203610
2/5/2023,Breakfast,"Blueberries, raw",63203010
2/5/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/5/2023,Lunch,"Carrots, raw",73101010
2/5/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/5/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/5/2023,Snack,"Pretzel chips, hard, plain",54408105
2/6/2023,Breakfast,"Oatmeal, multigrain",56203610
2/6/2023,Breakfast,"Blackberries, raw",63201010
2/6/2023,Lunch,"Pasta, cooked",56130000
2/6/2023,Lunch,"Cucumber, raw",75111000
2/6/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/6/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/6/2023,Snack,"Crackers, cheese",54304000
2/6/2023,Snack,"Chocolate candy, peanut butter filled",91705530
2/7/2023,Breakfast,Cream of rice,56205050
2/7/2023,Breakfast,"Peach, raw",63135010
2/7/2023,Lunch,"Pasta, cooked",56130000
2/7/2023,Lunch,"Celery, raw",75109000
2/7/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/7/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/8/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/8/2023,Breakfast,"Plum, raw",63143010
2/8/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/8/2023,Lunch,"Carrots, raw",73101010
2/8/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
2/8/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/8/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
2/8/2023,Snack,"Candy, fruit snacks",91746300
2/9/2023,Breakfast,"Oatmeal, multigrain",56203610
2/9/2023,Breakfast,"Raspberries, raw",63219000
2/9/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/9/2023,Lunch,"Cucumber, raw",75111000
2/9/2023,Dinner,Alfredo sauce with poultry,14650180
2/9/2023,Dinner,"Pasta, cooked",56130000
2/9/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/9/2023,Snack,"Snack bar, oatmeal",53712000
2/10/2023,Breakfast,"Oatmeal, multigrain",56203610
2/10/2023,Breakfast,"Blueberries, raw",63203010
2/10/2023,Lunch,"Pasta, cooked",56130000
2/10/2023,Lunch,"Celery, raw",75109000
2/10/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/10/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/11/2023,Breakfast,Cream of rice,56205050
2/11/2023,Breakfast,"Blackberries, raw",63201010
2/11/2023,Lunch,"Pasta, cooked",56130000
2/11/2023,Lunch,"Carrots, raw",73101010
2/11/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/11/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/11/2023,Snack,"Pretzel chips, hard, plain",54408105
2/11/2023,Snack,"Candy, fruit leather",91746350
2/12/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/12/2023,Breakfast,"Peach, raw",63135010
2/12/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/12/2023,Lunch,"Cucumber, raw",75111000
2/12/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/12/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/12/2023,Snack,"Crackers, cheese",54304000
2/12/2023,Snack,"Chocolate candy, peanut butter filled",91705530
2/13/2023,Breakfast,"Oatmeal, multigrain",56203610
2/13/2023,Breakfast,"Plum, raw",63143010
2/13/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/13/2023,Lunch,"Celery, raw",75109000
2/13/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/13/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/14/2023,Breakfast,"Oatmeal, multigrain",56203610
2/14/2023,Breakfast,"Raspberries, raw",63219000
2/14/2023,Lunch,"Pasta, cooked",56130000
2/14/2023,Lunch,"Carrots, raw",73101010
2/14/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
2/14/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/14/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
2/14/2023,Snack,"Candy, fruit snacks",91746300
2/15/2023,Breakfast,Cream of rice,56205050
2/15/2023,Breakfast,"Blueberries, raw",63203010
2/15/2023,Lunch,"Pasta, cooked",56130000
2/15/2023,Lunch,"Cucumber, raw",75111000
2/15/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/15/2023,Dinner,"Pasta, cooked",56130000
2/15/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/15/2023,Snack,"Snack bar, oatmeal",53712000
2/16/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/16/2023,Breakfast,"Blackberries, raw",63201010
2/16/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/16/2023,Lunch,"Celery, raw",75109000
2/16/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/16/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/17/2023,Breakfast,"Oatmeal, multigrain",56203610
2/17/2023,Breakfast,"Peach, raw",63135010
2/17/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/17/2023,Lunch,"Carrots, raw",73101010
2/17/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/17/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/17/2023,Snack,"Pretzel chips, hard, plain",54408105
2/17/2023,Snack,"Candy, fruit leather",91746350
2/18/2023,Breakfast,"Oatmeal, multigrain",56203610
2/18/2023,Breakfast,"Plum, raw",63143010
2/18/2023,Lunch,"Pasta, cooked",56130000
2/18/2023,Lunch,"Cucumber, raw",75111000
2/18/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/18/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/18/2023,Snack,"Crackers, cheese",54304000
2/18/2023,Snack,"Chocolate candy, peanut butter filled",91705530
2/19/2023,Breakfast,Cream of rice,56205050
2/19/2023,Breakfast,"Raspberries, raw",63219000
2/19/2023,Lunch,"Pasta, cooked",56130000
2/19/2023,Lunch,"Celery, raw",75109000
2/19/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
2/19/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/20/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/20/2023,Breakfast,"Blueberries, raw",63203010
2/20/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/20/2023,Lunch,"Carrots, raw",73101010
2/20/2023,Dinner,Alfredo sauce with poultry,14650180
2/20/2023,Dinner,"Pasta, cooked",56130000
2/20/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/20/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
2/20/2023,Snack,"Candy, fruit snacks",91746300
2/21/2023,Breakfast,"Oatmeal, multigrain",56203610
2/21/2023,Breakfast,"Blackberries, raw",63201010
2/21/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/21/2023,Lunch,"Cucumber, raw",75111000
2/21/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/21/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/21/2023,Snack,"Snack bar, oatmeal",53712000
2/22/2023,Breakfast,"Oatmeal, multigrain",56203610
2/22/2023,Breakfast,"Peach, raw",63135010
2/22/2023,Lunch,"Pasta, cooked",56130000
2/22/2023,Lunch,"Celery, raw",75109000
2/22/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/22/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/23/2023,Breakfast,Cream of rice,56205050
2/23/2023,Breakfast,"Plum, raw",63143010
2/23/2023,Lunch,"Quesadilla, cheese only",58104710
2/23/2023,Lunch,"Carrots, raw",73101010
2/23/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/23/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/23/2023,Snack,"Pretzel chips, hard, plain",54408105
2/23/2023,Snack,"Candy, fruit leather",91746350
2/24/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/24/2023,Breakfast,"Raspberries, raw",63219000
2/24/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/24/2023,Lunch,"Cucumber, raw",75111000
2/24/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/24/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/24/2023,Snack,"Crackers, cheese",54304000
2/24/2023,Snack,"Chocolate candy, peanut butter filled",91705530
2/25/2023,Breakfast,"Oatmeal, multigrain",56203610
2/25/2023,Breakfast,"Blueberries, raw",63203010
2/25/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
2/25/2023,Lunch,"Celery, raw",75109000
2/25/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
2/25/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
2/26/2023,Breakfast,"Oatmeal, multigrain",56203610
2/26/2023,Breakfast,"Blackberries, raw",63201010
2/26/2023,Lunch,"Pasta, cooked",56130000
2/26/2023,Lunch,"Carrots, raw",73101010
2/26/2023,Dinner,Alfredo sauce with poultry,14650180
2/26/2023,Dinner,"Pasta, cooked",56130000
2/26/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
2/26/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
2/26/2023,Snack,"Candy, fruit snacks",91746300
2/27/2023,Breakfast,Cream of rice,56205050
2/27/2023,Breakfast,"Peach, raw",63135010
2/27/2023,Lunch,"Quesadilla, cheese only",58104710
2/27/2023,Lunch,"Cucumber, raw",75111000
2/27/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/27/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
2/27/2023,Snack,"Snack bar, oatmeal",53712000
2/28/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
2/28/2023,Breakfast,"Plum, raw",63143010
2/28/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
2/28/2023,Lunch,"Celery, raw",75109000
2/28/2023,Dinner,"Chicken nuggets, from frozen",24198736
2/28/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
3/1/2023,Breakfast,"Oatmeal, multigrain",56203610
3/1/2023,Breakfast,"Blackberries, raw",63201010
3/1/2023,Lunch,"Cheese sandwich, American cheese, on white bread",14640002
3/1/2023,Lunch,"Celery, raw",75109000
3/1/2023,Dinner,"Chicken nuggets, from frozen",24198736
3/1/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
3/1/2023,Snack,"Yogurt, Greek, low fat milk, fruit",11434010
3/2/2023,Breakfast,"Yogurt, Greek, with oats",11435100
3/2/2023,Breakfast,"Peach, raw",63135010
3/2/2023,Lunch,"Pasta, cooked",56130000
3/2/2023,Lunch,"Carrots, raw",73101010
3/2/2023,Dinner,"Chicken nuggets, from frozen",24198736
3/2/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
3/2/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
3/2/2023,Snack,"Candy, fruit snacks",91746300
3/3/2023,Breakfast,Cream of rice,56205050
3/3/2023,Breakfast,"Plum, raw",63143010
3/3/2023,Lunch,"Quesadilla, cheese only",58104710
3/3/2023,Lunch,"Cucumber, raw",75111000
3/3/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
3/3/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
3/3/2023,Snack,"Snack bar, oatmeal",53712000
3/4/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
3/4/2023,Breakfast,"Raspberries, raw",63219000
3/4/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
3/4/2023,Lunch,"Celery, raw",75109000
3/4/2023,Dinner,Alfredo sauce with poultry,14650180
3/4/2023,Dinner,"Pasta, cooked",56130000
3/4/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
3/5/2023,Breakfast,"Oatmeal, multigrain",56203610
3/5/2023,Breakfast,"Blueberries, raw",63203010
3/5/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
3/5/2023,Lunch,"Carrots, raw",73101010
3/5/2023,Dinner,"Enchilada, no meat",58102840
3/5/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
3/5/2023,Snack,"Pretzel chips, hard, plain",54408105
3/5/2023,Snack,"Candy, fruit leather",91746350
3/6/2023,Breakfast,"Yogurt, Greek, with oats",11435100
3/6/2023,Breakfast,"Blackberries, raw",63201010
3/6/2023,Lunch,"Pasta, cooked",56130000
3/6/2023,Lunch,"Cucumber, raw",75111000
3/6/2023,Dinner,"Chicken nuggets, from frozen",24198736
3/6/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
3/6/2023,Snack,"Crackers, cheese",54304000
3/6/2023,Snack,"Chocolate candy, peanut butter filled",91705530
3/7/2023,Breakfast,Cream of rice,56205050
3/7/2023,Breakfast,"Peach, raw",63135010
3/7/2023,Lunch,"Quesadilla, cheese only",58104710
3/7/2023,Lunch,"Celery, raw",75109000
3/7/2023,Dinner,"Chicken nuggets, from frozen",24198736
3/7/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
3/7/2023,Snack,"Yogurt, Greek, low fat milk, fruit",11434010
3/8/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
3/8/2023,Breakfast,"Plum, raw",63143010
3/8/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
3/8/2023,Lunch,"Carrots, raw",73101010
3/8/2023,Dinner,"Chicken tenders or strips, breaded, from frozen",24198747
3/8/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
3/8/2023,Snack,"Crackers, whole grain, sandwich, peanut butter filled",54328120
3/8/2023,Snack,"Candy, fruit snacks",91746300
3/9/2023,Breakfast,"Oatmeal, multigrain",56203610
3/9/2023,Breakfast,"Raspberries, raw",63219000
3/9/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
3/9/2023,Lunch,"Cucumber, raw",75111000
3/9/2023,Dinner,Alfredo sauce with poultry,14650180
3/9/2023,Dinner,"Pasta, cooked",56130000
3/9/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
3/9/2023,Snack,"Snack bar, oatmeal",53712000
3/10/2023,Breakfast,"Yogurt, Greek, with oats",11435100
3/10/2023,Breakfast,"Blueberries, raw",63203010
3/10/2023,Lunch,"Pasta, cooked",56130000
3/10/2023,Lunch,"Celery, raw",75109000
3/10/2023,Dinner,"Enchilada, no meat",58102840
3/10/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
3/10/2023,Snack,"Chocolate candy, candy shell",91746100
3/11/2023,Breakfast,Cream of rice,56205050
3/11/2023,Breakfast,"Blackberries, raw",63201010
3/11/2023,Lunch,"Quesadilla, cheese only",58104710
3/11/2023,Lunch,"Carrots, raw",73101010
3/11/2023,Dinner,"Enchilada, no meat",58102840
3/11/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
3/11/2023,Snack,"Pretzel chips, hard, plain",54408105
3/11/2023,Snack,"Candy, fruit leather",91746350
3/12/2023,Breakfast,"Cream of wheat, regular or quick, made with water, no added fat",56207016
3/12/2023,Breakfast,"Peach, raw",63135010
3/12/2023,Lunch,"Pasta with cream sauce, ready-to-heat",58146383
3/12/2023,Lunch,"Cucumber, raw",75111000
3/12/2023,Dinner,"Chicken nuggets, from frozen",24198736
3/12/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
3/12/2023,Snack,"Crackers, cheese",54304000
3/12/2023,Snack,"Chocolate candy, peanut butter filled",91705530
3/13/2023,Breakfast,"Oatmeal, multigrain",56203610
3/13/2023,Breakfast,"Plum, raw",63143010
3/13/2023,Lunch,"Cheese sandwich, American cheese, on white bread",79878737
3/13/2023,Lunch,"Celery, raw",75109000
